player_id,player_name,position,team,projected_ppg,projected_total_pts,avg_ppg_2025,games_played_2024,avg_ppg_2024,projection_basis,age,age_adjustment_applied,edge_score,rookie_breakout_bonus,final_score,availability_multiplier,availability_note,games_played_2025,replacement_level,vor_score,final_score_raw,overall_rank,positional_rank,tier
00-0034857,Josh Allen,QB,BUF,23.55,400.3,23.6,19,23.07,2025*0.50+2024*0.30+2023*0.20,30.3,none,69.3778666364539,0.0,5.890651101495573,1.0,,18.0,15.495895176369894,5.890651101495573,21.386546277865467,7,1,Elite
00-0036389,Jalen Hurts,QB,PHI,20.01,340.2,18.78,19,21.66,2025*0.50+2024*0.30+2023*0.20,28.1,none,59.56109194753476,0.0,2.086557173240619,1.0,,17.0,15.495895176369894,2.086557173240619,17.582452349610513,31,2,Elite
00-0033873,Patrick Mahomes,QB,KC,19.12,325.0,20.08,19,18.31,2025*0.50+2024*0.30+2023*0.20,31.0,none,65.50187278506971,0.0,1.6452922465817057,1.0,,14.0,15.495895176369894,1.6452922465817057,17.1411874229516,36,3,Elite
00-0034796,Lamar Jackson,QB,BAL,20.15,342.5,16.84,19,24.82,2025*0.50+2024*0.30+2023*0.20,29.6,none,49.72853198856429,0.0,1.6151945823388143,1.0,,13.0,15.495895176369894,1.6151945823388143,17.111089758708708,37,4,Elite
00-0040691,Jaxson Dart,QB,NYG,17.4,295.8,17.4,0,,2025_only,23.3,none,69.45866298072812,15.0,1.3538470312241113,1.0,rookie_exemption,14.0,15.495895176369894,1.3538470312241113,16.849742207594005,41,5,Elite
00-0039851,Drake Maye,QB,NE,17.8,302.6,20.3,12,13.63,2025*0.50+2024*0.30,24.0,none,78.30576503024442,0.0,1.145632676245155,1.0,,21.0,15.495895176369894,1.145632676245155,16.64152785261505,46,6,Elite
00-0033077,Dak Prescott,QB,DAL,17.69,300.7,18.34,8,14.56,2025*0.50+2024*0.30+2023*0.20,33.1,none,64.56601375216219,0.0,0.3136231734573549,1.0,,17.0,15.495895176369894,0.3136231734573549,15.809518349827249,64,7,QB1
00-0039732,Bo Nix,QB,DEN,18.17,308.9,18.05,18,18.38,2025*0.50+2024*0.30,26.5,none,55.84303728629818,0.0,0.26710878610622224,1.0,,18.0,15.495895176369894,0.26710878610622224,15.763003962476116,65,8,QB1
00-0036355,Justin Herbert,QB,LAC,17.3,294.1,17.7,18,16.17,2025*0.50+2024*0.30+2023*0.20,28.5,none,67.15716453523575,0.0,0.09956166300884028,1.0,,17.0,15.495895176369894,0.09956166300884028,15.595456839378734,69,9,QB1
00-0034855,Baker Mayfield,QB,TB,17.83,303.1,16.11,18,21.19,2025*0.50+2024*0.30+2023*0.20,31.4,none,57.951008987296085,0.0,0.08490429436057134,1.0,,17.0,15.495895176369894,0.08490429436057134,15.580799470730465,70,10,QB1
00-0039139,Jahmyr Gibbs,RB,DET,18.64,316.8,19.42,18,20.08,2025*0.50+2024*0.30+2023*0.20,24.5,none,51.4045978644831,0.0,7.620786442170694,1.0,,17.0,8.301758670411202,7.620786442170694,15.922545112581895,1,1,Elite
00-0036223,Jonathan Taylor,RB,IND,18.01,306.2,19.96,14,16.98,2025*0.50+2024*0.30+2023*0.20,27.6,none,58.18858819110811,0.0,7.449170749554371,1.0,,17.0,8.301758670411202,7.449170749554371,15.750929419965573,3,2,Elite
00-0038542,Bijan Robinson,RB,ATL,17.91,304.5,19.72,17,18.31,2025*0.50+2024*0.30+2023*0.20,24.6,none,46.81891121279908,0.0,6.7508214290524915,1.0,,17.0,8.301758670411202,6.7508214290524915,15.052580099463693,4,3,Elite
00-0037840,Kyren Williams,RB,LA,16.04,272.6,15.13,18,15.6,2025*0.50+2024*0.30+2023*0.20,26.0,none,61.8724091142924,0.0,5.903541656168548,1.0,,20.0,8.301758670411202,5.903541656168548,14.20530032657975,6,4,Elite
00-0039040,De'Von Achane,RB,MIA,16.65,283.1,18.04,17,15.35,2025*0.50+2024*0.30+2023*0.20,24.9,none,48.82204018624791,0.0,5.791902236891879,1.0,,16.0,8.301758670411202,5.791902236891879,14.09366090730308,8,5,Elite
00-0037248,James Cook,RB,BUF,15.49,263.3,16.47,19,16.07,2025*0.50+2024*0.30+2023*0.20,26.9,none,60.27318804955228,0.0,5.342136378251492,1.0,,19.0,8.301758670411202,5.342136378251492,13.643895048662694,9,6,Elite
00-0033280,Christian McCaffrey,RB,SF,13.61,231.4,21.05,4,10.08,2025*0.50+2024*0.30+2023*0.20,30.2,RB age 30 *0.75,62.3032225118323,0.0,3.76908190474691,1.0,,19.0,8.301758670411202,3.76908190474691,12.070840575158112,13,7,Elite
