overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
8,Josh Allen,QB,BUF,23.94,,23.94,,23.94,UNPROVEN,71.6,1,Elite,,30.3,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:24.0:QB1 consensus],,,,,,,,,32.8,24.799999999999997,32.8,1.0,1,0.0,24.799999999999997,NEUTRAL
14,Lamar Jackson,QB,BAL,22.48,,22.48,,22.48,UNPROVEN,72.9,1,Elite,,29.6,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:22.0:QB2 consensus],,,,,,,,,55.8,41.8,55.8,3.0,2,1.0,41.8,NEUTRAL
32,Drake Maye,QB,NE,20.27,,20.27,,20.27,EMERGING,62.1,1,Elite,,24.0,2024_only*0.85+starter_floor_soft+rel[EMERGING*1.00] [sophomore_leap_player] [consensus_floor:20.0:QB3 consensus - AJ Brown],,,,,,,,,51.5,19.5,51.5,2.0,3,-1.0,19.5,NEUTRAL
34,Joe Burrow,QB,CIN,20.05,,20.05,,20.05,UNPROVEN,77.4,1,Elite,,29.7,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:19.5:QB4 consensus],,,,,,,,,56.5,22.5,56.5,4.0,4,0.0,22.5,NEUTRAL
46,Justin Herbert,QB,LAC,19.71,,19.71,,19.71,UNPROVEN,61.5,1,Elite,,28.5,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [consensus_floor:19.5:QB8 consensus McDaniel],,,,,,,,,107.5,61.5,107.5,14.0,5,9.0,61.5,BUY
50,Jayden Daniels,QB,WAS,19.36,,19.36,,19.36,EMERGING,75.1,1,Elite,,25.7,2024_only*0.85+rel[EMERGING*1.00] [sophomore_leap_player] [consensus_floor:19.0:QB5 consensus],,,,,,,,,72.4,22.400000000000006,72.4,6.0,6,0.0,22.400000000000006,NEUTRAL
52,Jalen Hurts,QB,PHI,19.25,,19.25,,19.25,UNPROVEN,80.4,1,QB1,,28.1,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:18.5:QB6 consensus],,,,,,,,,81.0,29.0,81.0,8.0,7,1.0,29.0,NEUTRAL
64,Brock Purdy,QB,SF,18.19,,18.19,,18.19,UNPROVEN,81.5,1,QB1,,26.7,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:17.5:QB10-11 consensus],,,,,,,,,85.1,21.099999999999994,85.1,9.0,8,1.0,21.099999999999994,NEUTRAL
85,Jaxson Dart,QB,NYG,18.0,,18.0,,18.0,UNPROVEN,78.3,0,QB1,,,sleeper_roster+adp_prior [adp_ecr_floor:18.0],,,,,,,,,117.7,32.7,117.7,16.0,9,7.0,32.7,BUY
86,Trevor Lawrence,QB,JAX,18.0,,18.0,,18.0,UNPROVEN,68.4,1,QB1,,26.9,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [consensus_floor:16.5:QB9 consensus] [adp_ecr_floor:18.0],,,,,,,,,90.9,4.900000000000006,90.9,10.0,10,0.0,4.900000000000006,NEUTRAL
87,Matthew Stafford,QB,LAR,18.0,,18.0,,18.0,UNPROVEN,66.8,1,QB1,,38.6,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:18.0],,,,,,,,,73.7,-13.299999999999997,73.7,7.0,11,-4.0,-13.299999999999997,FADE
88,Dak Prescott,QB,DAL,18.0,,18.0,,18.0,UNPROVEN,60.8,1,QB1,,33.1,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:18.0],,,,,,,,,64.6,-23.400000000000006,64.6,5.0,12,-7.0,-23.400000000000006,FADE
98,Caleb Williams,QB,CHI,17.54,,17.54,,17.54,EMERGING,72.3,1,QB2,,24.8,2024_only*0.85+starter_floor_soft+rel[EMERGING*1.00] [sophomore_leap_player] [consensus_floor:18.0:QB7 consensus yr2 leap],,,,,,,,,91.2,-6.799999999999997,91.2,11.0,13,-2.0,-6.799999999999997,NEUTRAL
99,Bo Nix,QB,DEN,17.5,,17.5,,17.5,UNPROVEN,79.3,1,QB2,,26.5,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:17.0:QB12 consensus],,,,,,,,,114.0,15.0,114.0,15.0,14,1.0,15.0,NEUTRAL
102,Jared Goff,QB,DET,17.17,,17.17,,17.17,UNPROVEN,66.1,1,QB2,,31.9,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:17.0:QB12 consensus],,,,,,,,,100.5,-1.5,100.5,12.0,15,-3.0,-1.5,FADE
103,Patrick Mahomes,QB,KC,17.1,,17.1,,17.1,UNPROVEN,59.5,1,QB2,,31.0,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:18.0] [camp_research:RETURNING:0.95:Starter. Fully cleared for camp practice (late July). Reid sitting entire preseason as a precaution — game-action still pending. On track to start Week 1 vs DEN Sept 14 (Rapoport Aug 29).],,,,,,,,RETURNING,103.9,0.9000000000000057,103.9,13.0,16,-3.0,0.9000000000000057,FADE
110,Baker Mayfield,QB,TB,16.6,,16.6,,16.6,UNPROVEN,75.8,1,QB2,,31.4,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,135.0,25.0,135.0,17.0,17,0.0,25.0,NEUTRAL
124,Kyler Murray,QB,MIN,15.5,,15.5,,15.5,UNPROVEN,60.0,1,QB2,,29.1,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [team_corr:MIN:0.85:MIN - backup risk behind McCarthy] [adp_ecr_floor:15.5],,,,,,,,,137.0,13.0,137.0,18.0,18,0.0,13.0,NEUTRAL
125,Sam Darnold,QB,SEA,15.5,,15.5,,15.5,UNPROVEN,78.0,1,Streamable,,29.2,2024_only*0.85+rel[UNPROVEN*0.92] [team_corr:SEA:1.05:SEA - Super Bowl LX winner] [adp_ecr_floor:15.5],,,,,,,,,143.6,18.599999999999994,143.6,20.0,19,1.0,18.599999999999994,NEUTRAL
126,Tyler Shough,QB,NO,15.5,,15.5,,15.5,UNPROVEN,64.1,0,Streamable,,,sleeper_roster+adp_prior [adp_ecr_floor:15.5],,,,,,,,,138.1,12.099999999999994,138.1,19.0,20,-1.0,12.099999999999994,NEUTRAL
192,C.J. Stroud,QB,HOU,13.0,,13.0,,13.0,UNPROVEN,64.9,1,Streamable,,24.9,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:13.0],,,,,,,,,158.3,-33.69999999999999,158.3,22.0,21,1.0,-33.69999999999999,NEUTRAL
193,Jordan Love,QB,GB,13.0,,13.0,,13.0,UNPROVEN,70.1,1,Streamable,,27.8,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,150.2,-42.80000000000001,150.2,21.0,22,-1.0,-42.80000000000001,NEUTRAL
194,Malik Willis,QB,MIA,13.0,,13.0,,13.0,UNPROVEN,58.3,0,Streamable,,27.3,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:13.0],,,,,,,,,163.4,-30.599999999999994,163.4,25.0,23,2.0,-30.599999999999994,NEUTRAL
200,Geno Smith,QB,NYJ,12.85,,12.85,,12.85,UNPROVEN,62.8,1,Streamable,,35.9,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,24,,,UNKNOWN
203,Cam Ward,QB,TEN,12.67,,12.67,,12.67,UNPROVEN,58.9,0,Avoid,,,sleeper_roster+adp_prior,,,,,,,,,161.2,-41.80000000000001,161.2,23.0,25,-2.0,-41.80000000000001,NEUTRAL
204,Anthony Richardson,QB,IND,12.62,,12.62,,12.62,UNPROVEN,73.6,1,Avoid,,24.3,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,26,,,UNKNOWN
220,Aaron Rodgers,QB,PIT,12.21,,12.21,,12.21,UNPROVEN,60.1,1,Avoid,,42.7,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,27,,,UNKNOWN
227,Bryce Young,QB,CAR,11.98,,11.98,,11.98,UNPROVEN,69.2,1,Avoid,,25.1,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,173.1,-53.900000000000006,173.1,26.0,28,-2.0,-53.900000000000006,NEUTRAL
