overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
1,Jahmyr Gibbs,RB,DET,20.0,,20.0,,20.0,UNPROVEN,66.1,1,Elite,,24.5,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:20.0:RB1 consensus],,,,,,,,,1.5,0.5,1.5,1.0,1,0.0,0.5,NEUTRAL
2,Bijan Robinson,RB,ATL,18.5,,18.5,,18.5,UNPROVEN,74.3,1,Elite,,24.6,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:18.5:RB2 consensus],,,,,,,,,2.4,0.3999999999999999,2.4,2.0,2,0.0,0.3999999999999999,NEUTRAL
4,Christian McCaffrey,RB,SF,17.0,,17.0,,17.0,UNPROVEN,53.5,0,Elite,,30.2,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:17.0:RB3-4 consensus] [camp_research:HEALTHY:1.0:Sleeper 'listed as Questionable' stub is not a ranking haircut. AP Aug 23 back at practice; NY Post Aug 28 expected Week 1.],,,,,,,,HEALTHY,7.0,3.0,7.0,4.0,3,1.0,3.0,NEUTRAL
6,Jonathan Taylor,RB,IND,16.5,,16.5,,16.5,UNPROVEN,73.6,1,Elite,,27.6,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:16.5:RB3-4 consensus],,,,,,,,,5.8,-0.20000000000000018,5.8,3.0,4,-1.0,-0.20000000000000018,NEUTRAL
9,Devon Achane,RB,MIA,16.0,,16.0,,16.0,UNPROVEN,58.3,1,Elite,,24.9,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:16.0:RB5 consensus],,,,,,,,,11.4,2.4000000000000004,11.4,7.0,5,2.0,2.4000000000000004,NEUTRAL
11,James Cook,RB,BUF,15.5,,15.5,,15.5,UNPROVEN,71.6,1,Elite,,26.9,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:15.5:RB6 consensus],,,,,,,,,,,,,6,,,UNKNOWN
12,Ashton Jeanty,RB,LV,15.0,,15.0,,15.0,UNPROVEN,60.0,0,Elite,,,sleeper_roster+adp_prior [consensus_floor:15.0:RB7 consensus - yr2 leap],,,,,,,,,22.8,10.8,22.8,11.0,7,4.0,10.8,BUY
15,Derrick Henry,RB,BAL,14.5,,14.5,,14.5,UNPROVEN,72.9,1,Elite,,32.7,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:14.5:RB7-8 consensus],,,,,,,,,10.1,-4.9,10.1,6.0,8,-2.0,-4.9,NEUTRAL
16,Saquon Barkley,RB,PHI,14.38,,14.38,,14.38,UNPROVEN,80.4,1,Elite,,29.6,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,17.3,1.3000000000000007,17.3,9.0,9,0.0,1.3000000000000007,NEUTRAL
21,Jeremiyah Love,RB,ARI,13.5,,13.5,,13.5,UNPROVEN,67.6,0,RB1/2,,,sleeper_roster+adp_prior [adp_ecr_floor:13.5],,,,,,,,,30.1,9.100000000000001,30.1,15.0,10,5.0,9.100000000000001,BUY
22,TreVeyon Henderson,RB,NE,13.5,,13.5,,13.5,UNPROVEN,65.0,0,RB1/2,,,sleeper_roster+adp_prior [consensus_floor:13.5:RB9 consensus],,,,,,,,,62.8,40.8,62.8,27.0,11,16.0,40.8,BUY
23,Chase Brown,RB,CIN,13.5,,13.5,,13.5,EMERGING,75.0,1,Elite,,26.4,2024_only*0.85+rel[EMERGING*1.00] [sophomore_leap_player] [team_corr:CIN:1.05:CIN RB1 - Burrow healthy] [consensus_floor:13.5:RB8-15 consensus breakout],,,,,,,,,14.5,-8.5,14.5,8.0,12,-4.0,-8.5,FADE
24,Breece Hall,RB,NYJ,13.5,,13.5,,13.5,UNPROVEN,62.8,1,RB1/2,,25.3,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:13.5],,,,,,,,,33.2,9.200000000000003,33.2,16.0,13,3.0,9.200000000000003,BUY
25,Javonte Williams,RB,DAL,13.5,,13.5,,13.5,UNPROVEN,60.8,1,Elite,,26.4,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:13.5],,,,,,,,,33.8,8.799999999999997,33.8,17.0,14,3.0,8.799999999999997,BUY
26,Kyren Williams,RB,LAR,13.5,,13.5,,13.5,UNPROVEN,64.0,1,Elite,,26.0,"2024_only*0.85+rel[UNPROVEN*0.92] [team_corr:LAR:0.8:LAR 60/40 with Corum — lead back, not a top-5 overall] [consensus_floor:13.0:RB14-17 consensus] [adp_ecr_floor:13.5]",,,,,,,,,27.7,1.6999999999999993,27.7,13.0,15,-2.0,1.6999999999999993,NEUTRAL
27,Kenneth Walker,RB,KC,13.5,,13.5,,13.5,UNPROVEN,59.5,1,RB1/2,,25.9,2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:13.5:RB9-10 consensus KC],,,,,,,,,20.5,-6.5,20.5,10.0,16,-6.0,-6.5,FADE
28,Omarion Hampton,RB,LAC,13.5,,13.5,,13.5,UNPROVEN,80.0,0,RB1/2,,,sleeper_roster+adp_prior [consensus_floor:13.0:RB10 consensus - LAC yr2] [adp_ecr_floor:13.5],,,,,,,,,23.1,-4.899999999999999,23.1,12.0,17,-5.0,-4.899999999999999,FADE
29,Cam Skattebo,RB,NYG,13.5,,13.5,,13.5,UNPROVEN,58.0,0,RB1/2,,,sleeper_roster+adp_prior [adp_ecr_floor:13.5],,,,,,,,,39.6,10.600000000000001,39.6,19.0,18,1.0,10.600000000000001,NEUTRAL
42,D'Andre Swift,RB,CHI,12.0,,12.0,,12.0,UNPROVEN,60.3,1,RB1/2,,27.6,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:12.0],,,,,,,,,43.3,1.2999999999999972,43.3,20.0,19,1.0,1.2999999999999972,NEUTRAL
43,Bucky Irving,RB,TB,12.0,,12.0,,12.0,UNPROVEN,65.0,1,RB1/2,,24.0,2024_only*0.85+rel[UNPROVEN*0.92] [team_corr:TB:1.0:TB RB1 - Reich scheme] [consensus_floor:12.0:RB14 consensus TB],,,,,,,,,48.3,5.299999999999997,48.3,21.0,20,1.0,5.299999999999997,NEUTRAL
44,Bhayshul Tuten,RB,JAX,12.0,,12.0,,12.0,UNPROVEN,68.4,0,RB1/2,,,sleeper_roster+adp_prior [adp_ecr_floor:12.0],,,,,,,,,53.7,9.700000000000003,53.7,24.0,21,3.0,9.700000000000003,BUY
45,Quinshon Judkins,RB,CLE,12.0,,12.0,,12.0,UNPROVEN,65.5,0,RB1/2,,,sleeper_roster+adp_prior [adp_ecr_floor:12.0],,,,,,,,,51.0,6.0,51.0,22.0,22,0.0,6.0,NEUTRAL
51,Chuba Hubbard,RB,CAR,11.47,,11.47,,11.47,UNPROVEN,69.2,1,RB1/2,,27.2,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,87.1,36.099999999999994,87.1,33.0,23,10.0,36.099999999999994,BUY
59,Rico Dowdle,RB,PIT,10.71,,10.71,,10.71,UNPROVEN,60.1,1,RB1/2,,28.2,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:10.2] [camp_notes:POSITIVE:1.05:That cleared the way for Rico Dowdle to take over the backfield.],,,,,,,,POSITIVE,74.5,15.5,74.5,31.0,24,7.0,15.5,BUY
65,J.K. Dobbins,RB,DEN,10.2,,10.2,,10.2,UNPROVEN,67.3,1,RB3,,27.7,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:10.2],,,,,,,,,79.5,14.5,79.5,32.0,25,7.0,14.5,BUY
69,Kenny Gainwell,RB,TB,10.2,,10.2,,10.2,UNPROVEN,63.8,0,RB3,,,sleeper_roster+adp_prior,,,,,,,,,99.9,30.900000000000006,99.9,35.0,26,9.0,30.900000000000006,BUY
