overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
18,Trey McBride,TE,ARI,13.63,,13.63,,13.63,VOLATILE,66.5,4,Elite,,26.8,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88] [consensus_floor:13.0:TE1 consensus],,,,,,,,,38.0,20.0,38.0,1.0,1,0.0,20.0,NEUTRAL
27,Brock Bowers,TE,LV,12.6,,12.6,,12.6,EMERGING,62.3,2,Elite,,23.7,2025*0.50+2024*0.30+rel[EMERGING*1.00] [sophomore_leap_player] [consensus_floor:12.5:TE2 consensus],,,,,,,,,43.5,16.5,43.5,2.0,2,0.0,16.5,NEUTRAL
41,Dallas Goedert,TE,PHI,10.89,,10.89,,10.89,PROVEN_ELITE,72.9,6,Elite,,31.7,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12],,,,,,,,,104.0,63.0,104.0,8.0,3,5.0,63.0,BUY
50,Colston Loveland,TE,CHI,10.33,,10.33,,10.33,EMERGING,72.0,1,TE1,,22.4,2025_only+rel[EMERGING*1.00] [sophomore_leap_player] [team_corr:CHI:1.05:CHI TE1 - Caleb Williams year 2] [consensus_floor:10.0:TE4 consensus CHI],,,,,,,,,61.7,11.700000000000003,61.7,3.0,4,-1.0,11.700000000000003,NEUTRAL
52,Harold Fannin Jr.,TE,CLE,10.18,,10.18,,10.18,EMERGING,58.0,1,TE1,,22.1,2025_only+rel[EMERGING*1.00] [sophomore_leap_player] [team_corr:CLE:1.0:CLE TE1 - Monken run heavy] [consensus_floor:10.5:TE3 consensus CLE],,,,,,,,,84.0,32.0,84.0,5.0,5,0.0,32.0,NEUTRAL
59,Darren Waller,TE,CAR,9.52,,9.52,,9.52,PROVEN_SOLID,61.5,4,TE1,,34.0,2025*0.50+2023*0.20+rel[PROVEN_SOLID*1.06],,,,,,,,,,,,,6,,,UNKNOWN
62,Sam LaPorta,TE,DET,9.79,,9.79,,9.79,PROVEN_SOLID,78.8,3,TE1,,25.6,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06] [camp_notes:MILD:0.93:Sam LaPorta listed as Questionable. ],,,,,,,,MILD,104.3,42.3,104.3,9.0,7,2.0,42.3,NEUTRAL
64,Tyler Warren,TE,IND,9.26,,9.26,,9.26,EMERGING,65.0,1,TE1,,24.3,2025_only+rel[EMERGING*1.00] [sophomore_leap_player] [team_corr:IND:1.0:IND TE1 - Steichen offense] [consensus_floor:10.0:TE4 consensus IND] [camp_notes:MILD:0.93:Tyler Warren listed as Questionable. ],,,,,,,,MILD,72.2,8.200000000000003,72.2,4.0,8,-4.0,8.200000000000003,FADE
75,Travis Kelce,TE,KC,8.97,,8.97,,8.97,VOLATILE,69.2,6,TE1/2,,36.9,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88],,,,,,,,,121.7,46.7,121.7,11.0,9,2.0,46.7,NEUTRAL
76,Kyle Pitts,TE,ATL,8.96,,8.96,,8.96,PROVEN_ELITE,71.5,5,TE1/2,,25.9,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12],,,,,,,,,,,,,10,,,UNKNOWN
