Rank,Name,Position,Team,Final_Score,Edge_Score,Hidden_Score,Live_Injury_Status,Top_Factor_1
1,Jahmyr Gibbs,RB,DET,7.620786442170694,55.4045978644831,72.68236294641257,Healthy,"Jahmyr Gibbs: score driven by RB role BELLCOW (carry share 60%); also age cliff none (age 23, 0%)"
2,Puka Nacua,WR,LA,7.4768243000399455,75.51915891390486,72.86775527260662,Healthy,Puka Nacua: score driven by BLANKET third-down role (32% of team targets); also YPRR 9.84 (p83 at WR)
3,Jonathan Taylor,RB,IND,7.449170749554371,60.18858819110811,71.24983764119295,Healthy,"Jonathan Taylor: score driven by RB role BELLCOW (carry share 87%); also age cliff none (age 27, 0%)"
4,Bijan Robinson,RB,ATL,6.7508214290524915,44.81891121279908,75.86335584766888,Healthy,"Bijan Robinson: score driven by RB role BELLCOW (carry share 65%); also age cliff none (age 24, 0%)"
5,Ja'Marr Chase,WR,CIN,5.93739300614606,56.52303146683997,64.31827592786948,Questionable,Ja'Marr Chase: score driven by BLANKET third-down role (31% of team targets); also garbage-time inflation 45%
6,Kyren Williams,RB,LA,5.903541656168548,65.8724091142924,71.86554638187764,Questionable,"Kyren Williams: score driven by RB role BELLCOW (carry share 63%); also age cliff none (age 25, 0%)"
7,Josh Allen,QB,BUF,5.890651101495573,73.3778666364539,56.03508771929825,Healthy,Josh Allen: score driven by stable coaching context; also team win total 12
8,De'Von Achane,RB,MIA,5.791902236891879,46.82204018624791,68.86826002756749,Doubtful,"De'Von Achane: score driven by RB role BELLCOW (carry share 63%); also age cliff none (age 24, 0%)"
9,James Cook,RB,BUF,5.342136378251492,64.27318804955229,70.94857647898677,Healthy,"James Cook: score driven by RB role BELLCOW (carry share 76%); also age cliff none (age 26, 0%)"
10,Amon-Ra St. Brown,WR,DET,5.323897109021029,60.52707128647988,66.76544522741833,Questionable,Amon-Ra St. Brown: score driven by BLANKET third-down role (37% of team targets); also garbage-time inflation 43%
11,CeeDee Lamb,WR,DAL,4.244763273777565,61.10837297636755,57.398159541265315,Healthy,CeeDee Lamb: score driven by YPRR 9.21 (p81 at WR); also stable coaching context
12,Trey McBride,TE,ARI,3.8562089644757345,52.91906307965338,58.20849881070102,Healthy,Trey McBride: score driven by YPRR 7.29 (p70 at TE); also stable coaching context
13,Christian McCaffrey,RB,SF,3.76908190474691,64.3032225118323,72.67218792088545,Healthy,Christian McCaffrey: score driven by RB role BELLCOW (carry share 76%); also RB committee risk LOW (HHI 0.63)
14,Ashton Jeanty,RB,LV,3.6517804075714118,51.06550768788994,71.13089659146047,Healthy,"Ashton Jeanty: score driven by RB role BELLCOW (carry share 87%); also age cliff none (age 22, 0%)"
15,Jaxon Smith-Njigba,WR,SEA,3.5055862679859544,60.86010500030787,69.0049579024435,Healthy,Jaxon Smith-Njigba: score driven by BLANKET third-down role (31% of team targets); also YPRR 10.54 (p87 at WR)
16,Cam Skattebo,RB,NYG,3.468968349543985,36.00661641206056,57.226038852635604,Healthy,"Cam Skattebo: score driven by age cliff none (age 24, 0%); also third-down target share 5%"
17,Saquon Barkley,RB,PHI,3.306932306542075,51.322887191460424,69.52114669373017,Healthy,Saquon Barkley: score driven by RB role BELLCOW (carry share 78%); also RB committee risk LOW (HHI 0.63)
18,Josh Jacobs,RB,GB,3.29716322543778,56.76706149649731,64.30035537072511,Healthy,"Josh Jacobs: score driven by RB role BELLCOW (carry share 62%); also age cliff AGE_CLIFF (age 28, -5%)"
19,Nico Collins,WR,HOU,2.9084790801330325,43.60233301805447,61.811256656366034,Out,Nico Collins: score driven by +5% script boost (12-win team); also YPRR 8.89 (p76 at WR)
20,Kenneth Walker III,RB,SEA,2.8323792217203803,55.481140961658475,58.015702398018064,Healthy,"Kenneth Walker III: score driven by age cliff none (age 25, 0%); also +3% script boost (14-win team)"
21,George Kittle,TE,SF,2.713117958024484,50.63876279229568,59.138473217648205,Healthy,George Kittle: score driven by YPRR 8.93 (p91 at TE); also garbage-time inflation 74%
22,Brock Bowers,TE,LV,2.6846882688925406,34.188877875379326,59.29923122412774,Healthy,Brock Bowers: score driven by YPRR 7.82 (p75 at TE); also target share trend ASCENDING
23,George Pickens,WR,DAL,2.4843584160109327,65.84135001734647,63.88130702545984,Healthy,George Pickens: score driven by YPRR 10.36 (p86 at WR); also garbage-time inflation 42%
24,Derrick Henry,RB,BAL,2.4674321581721728,55.7921850300073,60.09638439897597,Healthy,Derrick Henry: score driven by RB role BELLCOW (carry share 78%); also RB committee risk LOW (HHI 0.64)
25,Drake London,WR,ATL,2.4128036552565177,44.8568604363772,59.24419372686327,Questionable,Drake London: score driven by garbage-time inflation 31%; also stable coaching context
26,Tee Higgins,WR,CIN,2.32732880401157,51.71247024458884,60.20481827589452,Questionable,Tee Higgins: score driven by YPRR 8.55 (p71 at WR); also stable coaching context
27,Breece Hall,RB,NYJ,2.210447187435104,32.21040661144373,68.78792866524878,Out,"Breece Hall: score driven by RB role BELLCOW (carry share 73%); also age cliff none (age 24, 0%)"
28,Chase Brown,RB,CIN,2.203276112495411,51.51628386932184,69.86163512128242,Healthy,"Chase Brown: score driven by RB role BELLCOW (carry share 70%); also age cliff none (age 25, 0%)"
29,A.J. Brown,WR,PHI,2.1892755693001966,51.881555728039345,71.48659050599024,Healthy,A.J. Brown: score driven by garbage-time inflation 34%; also BLANKET third-down role (27% of team targets)
30,Justin Jefferson,WR,MIN,2.156270775492805,41.424940084697575,63.63632126841768,Healthy,Justin Jefferson: score driven by BLANKET third-down role (32% of team targets); also garbage-time inflation 44%
31,Jalen Hurts,QB,PHI,2.086557173240619,61.56109194753476,54.74401913875599,Healthy,Jalen Hurts: score driven by stable coaching context; also garbage-time inflation 46%
32,Davante Adams,WR,LA,2.055189220616704,72.1279056059969,58.558567845444095,Healthy,Davante Adams: score driven by +5% script boost (12-win team); also stable coaching context
33,Travis Etienne,RB,JAX,1.996889652136705,47.53610404949654,71.91070187645595,Healthy,"Travis Etienne: score driven by RB role BELLCOW (carry share 69%); also age cliff none (age 27, 0%)"
34,D'Andre Swift,RB,CHI,1.882756557233277,41.570288951725914,68.48466174269156,Questionable,"D'Andre Swift: score driven by RB role BELLCOW (carry share 56%); also age cliff none (age 27, 0%)"
35,Javonte Williams,RB,DAL,1.703531657015981,63.21901542184745,66.29302576796823,Out,"Javonte Williams: score driven by RB role BELLCOW (carry share 66%); also age cliff none (age 25, 0%)"
36,Patrick Mahomes,QB,KC,1.6452922465817057,67.50187278506971,52.7154413525629,Healthy,Patrick Mahomes: score driven by stable coaching context; also third-down target share 1%
37,Lamar Jackson,QB,BAL,1.6151945823388143,53.72853198856429,53.930871956009426,Healthy,Lamar Jackson: score driven by stable coaching context; also garbage-time inflation 43%
38,Rashee Rice,WR,KC,1.5930018377581625,40.76087350702697,57.177944966702924,Healthy,Rashee Rice: score driven by garbage-time inflation 32%; also target share trend ASCENDING
