Rank,Name,Team,Position,Weekly Score,Edge Score,Hidden Score,Research Score,Contextual Score,Outlook,Top Factors,Upcoming Opponent,Matchup Grade,Referee,Surface,Prime Time Flag,Intl Games Note,International Multiplier
1,Jonathan Taylor,IND,RB,8738.75,9.44,50.0,55.03,49.55,NEUTRAL,referee (50); surface (50),KC,50.0,,,N,,1.0
2,Bijan Robinson,ATL,RB,8710.27,9.16,50.0,52.16,49.55,NEUTRAL,referee (50); surface (50),CAR,50.0,,,N,,1.0
3,Josh Allen,BUF,QB,8565.55,6.71,50.0,36.85,53.55,NEUTRAL,environment (83); referee (50),DET,50.0,,,N,,1.0
4,Amon-Ra St. Brown,DET,WR,8544.79,6.25,50.0,49.15,54.55,NEUTRAL,environment (92); referee (50),BUF,50.0,,,N,,1.0
5,De'Von Achane,MIA,RB,8509.06,7.14,50.0,48.89,49.55,NEUTRAL,referee (50); surface (50),SF,50.0,,,N,,1.0
6,Jahmyr Gibbs,DET,RB,8491.22,7.47,50.0,45.82,47.55,NEUTRAL,referee (50); surface (50),BUF,50.0,,,N,,1.0
7,Ja'Marr Chase,CIN,WR,8419.79,6.25,50.0,47.4,49.55,NEUTRAL,referee (50); surface (50),HOU,50.0,,,N,,1.0
8,Christian McCaffrey,SF,RB,8398.81,6.04,50.0,53.58,49.55,NEUTRAL,referee (50); surface (50),MIA,50.0,,,N,,1.0
9,Jaxon Smith-Njigba,SEA,WR,8331.58,5.37,50.0,41.49,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
10,Ashton Jeanty,LV,RB,8285.18,4.9,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LAC,50.0,,,N,,1.0
11,Derrick Henry,BAL,RB,8238.94,4.44,50.0,55.12,49.55,NEUTRAL,referee (50); surface (50),NO,50.0,,,N,,1.0
12,Puka Nacua,LAR,WR,8219.5,4.24,50.0,60.48,49.55,NEUTRAL,referee (50); surface (50),NYG,50.0,,,N,,1.0
13,Trey McBride,ARI,TE,8199.28,4.04,50.0,50.15,49.55,NEUTRAL,referee (50); surface (50),SEA,50.0,,,N,,1.0
14,CeeDee Lamb,DAL,WR,8196.53,4.01,50.0,44.32,49.55,NEUTRAL,referee (50); surface (50),WAS,50.0,,,N,,1.0
15,James Cook,BUF,RB,8189.86,4.45,50.0,58.62,47.55,NEUTRAL,referee (50); surface (50),DET,50.0,,,N,,1.0
16,Cam Skattebo,NYG,RB,8168.2,3.73,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
17,Justin Jefferson,MIN,WR,8167.13,3.72,50.0,48.39,49.55,NEUTRAL,referee (50); surface (50),CHI,50.0,,,N,,1.0
18,George Kittle,SF,TE,8140.48,3.45,50.0,54.77,49.55,NEUTRAL,referee (50); surface (50),MIA,50.0,,,N,,1.0
19,Omarion Hampton,LAC,RB,8129.61,3.34,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LV,50.0,,,N,,1.0
20,Kyren Williams,LAR,RB,8122.26,3.27,50.0,70.45,49.55,NEUTRAL,referee (50); surface (50),NYG,50.0,,,N,,1.0
21,Kenneth Walker III,KC,RB,8113.99,3.19,50.0,55.71,49.55,NEUTRAL,referee (50); surface (50),IND,50.0,,,N,,1.0
22,Jalen Hurts,PHI,QB,8111.82,3.17,50.0,36.91,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
23,D'Andre Swift,CHI,RB,8088.27,2.93,50.0,51.72,49.55,NEUTRAL,referee (50); surface (50),MIN,50.0,,,N,,1.0
24,Drake London,ATL,WR,8082.6,2.87,50.0,45.18,49.55,NEUTRAL,referee (50); surface (50),CAR,50.0,,,N,,1.0
